Rank,alpha_scale,repulsion,delta_E,score,movement
1,1.0000000000000002,0.49999999999999994,28.78119797970885,-0.48519797970885037,2.2921382334637928
2,1.0000000000000002,0.39999999999999997,28.79499887904467,-0.4989988790446702,2.3339243760824027
3,1.0000000000000002,0.35,28.823581043325703,-0.5275810433257035,2.7953843249488943
4,1.0000000000000002,0.7499999999999999,28.864589980337996,-0.5685899803379968,3.179880099962612
5,1.0000000000000002,0.7,28.885819937576343,-0.589819937576344,3.085750132543265
6,1.0000000000000002,0.6499999999999999,28.89879748377666,-0.6027974837766621,3.067028410249387
7,1.0000000000000002,0.5999999999999999,28.901605380458705,-0.6056053804587052,3.0972249605256463
8,1.0000000000000002,0.5499999999999999,28.912957194245564,-0.6169571942455647,3.0616560144098828
9,1.0000000000000002,0.44999999999999996,28.928181211058245,-0.6321812110582457,3.06300220884275
10,1.0000000000000002,0.3,28.945174386210283,-0.6491743862102837,3.0725682808466757
11,1.0000000000000002,0.25,28.952745897512386,-0.656745897512387,3.0706038151701804
12,0.9500000000000002,0.3,27.485433809149526,-0.8105661908504729,3.0681136884552154
13,0.9500000000000002,0.35,27.479255511093243,-0.8167444889067568,3.092374686832815
14,0.9500000000000002,0.39999999999999997,27.47587120836988,-0.8201287916301183,3.0586787552746983
15,0.9500000000000002,0.44999999999999996,27.468352455053946,-0.8276475449460534,3.0625869612881678
16,0.9500000000000002,0.49999999999999994,27.46093379703416,-0.8350662029658409,3.0639525935634597
17,0.9500000000000002,0.25,27.443647048323783,-0.8523529516762167,2.9085853660997936
18,0.9500000000000002,0.5999999999999999,27.442419968690047,-0.8535800313099529,3.098693510312522
19,0.9500000000000002,0.7,27.411929237030563,-0.8840707629694364,3.169599318374481
20,0.9500000000000002,0.6499999999999999,27.35105138025142,-0.9449486197485797,2.9409546635162904
21,0.9500000000000002,0.5499999999999999,27.319717592867846,-0.9762824071321532,2.2966942448552383
22,0.9500000000000002,0.7499999999999999,27.281151453194298,-1.0148485468057018,2.420332223277862
23,1.0500000000000003,0.7499999999999999,30.222262099449836,-1.9262620994498363,2.833083339454347
24,1.0500000000000003,0.39999999999999997,30.250781760283644,-1.9547817602836446,2.367342751867798
25,1.0500000000000003,0.3,30.295307322635836,-1.9993073226358362,2.557053138346654
26,1.0500000000000003,0.44999999999999996,30.301596135133877,-2.005596135133878,2.772489844087858
27,1.0500000000000003,0.7,30.345086483910563,-2.049086483910564,3.083001888266334
28,1.0500000000000003,0.6499999999999999,30.358422727928428,-2.0624227279284284,3.06517849613755
29,1.0500000000000003,0.5999999999999999,30.365739498537323,-2.0697394985373236,3.065452752038639
30,1.0500000000000003,0.5499999999999999,30.37298224355004,-2.0769822435500416,3.0607536016920895
31,1.0500000000000003,0.49999999999999994,30.375847596563517,-2.0798475965635177,3.091607168536059
32,1.0500000000000003,0.35,30.397108444868763,-2.101108444868764,3.0724913945117076
33,1.0500000000000003,0.25,30.412474299471796,-2.116474299471797,3.0717867411873763
34,0.9000000000000001,0.25,26.038768919097038,-2.2572310809029617,3.059023877101585
35,0.9000000000000001,0.3,26.027372761554943,-2.268627238445056,3.090243907929485
36,0.9000000000000001,0.49999999999999994,25.99650387566635,-2.2994961243336505,3.1242867261779126
37,0.9000000000000001,0.5499999999999999,25.99384445277269,-2.302155547227308,3.0673965661797626
38,0.9000000000000001,0.5999999999999999,25.98135938075893,-2.314640619241068,3.0847659777577525
39,0.9000000000000001,0.7499999999999999,25.971915965194967,-2.3240840348050327,3.1529880420079315
40,0.9000000000000001,0.39999999999999997,25.9069836608287,-2.389016339171299,2.4907074127266524
41,0.9000000000000001,0.35,25.900415488767976,-2.3955845112320233,2.380585273134074
42,0.9000000000000001,0.44999999999999996,25.88533769148944,-2.4106623085105596,2.4139813411672018
43,0.9000000000000001,0.7,25.883698770843694,-2.4123012291563057,2.7006230790984516
44,0.9000000000000001,0.6499999999999999,25.859689424489716,-2.4363105755102836,2.334004432733748
