Z,N,A,delta_E,movement,stable,boundary_hit,success
10,15,25,141.4796532224973,17.32939833921062,True,True,True
10,16,26,129.93910048693215,18.170868935427944,True,True,False
10,17,27,148.31156495593677,18.338762998582567,True,True,False
10,18,28,145.1866737131786,18.68321816575335,True,True,True
10,19,29,144.52761230365104,17.836137730812858,True,True,True
10,20,30,152.08591881879693,18.53464249691076,True,True,False
10,21,31,171.85651334450813,18.90367355708359,True,True,False
10,22,32,174.36227891433555,19.181844834033278,True,True,True
10,23,33,-919553053.3580865,19.430031578871358,False,True,False
10,24,34,166.8237257531655,19.52778238795319,True,True,False
10,25,35,-252933368.8246935,19.91715863705479,False,True,False
10,26,36,156.0544882192262,19.762213136411315,True,True,False
10,27,37,183.24754096696415,19.708215709767778,True,True,False
10,28,38,187.020556873671,20.409069714369494,True,True,False
10,29,39,-667246697.6178243,20.17535968626857,False,True,False
10,30,40,197.96594336214184,20.785421251252863,True,True,False
11,11,22,109.62306163758512,17.042332558437188,True,True,False
11,12,23,135.3734584620379,17.38863986635049,True,True,False
11,13,24,138.36848525202004,16.543854315038253,True,True,True
11,14,25,142.38476415801597,17.925821212968778,True,True,False
11,15,26,121.49348725973505,17.82837158495472,True,True,True
11,16,27,145.84504871126592,17.871903371942345,True,True,False
11,17,28,145.42079975082197,18.519609424277398,True,True,True
11,18,29,143.62654578780712,19.081766685902643,True,True,False
11,19,30,154.75432041645035,6.687809293804773,True,False,False
11,20,31,147.90242280391976,19.25474307916337,True,True,False
11,21,32,144.95184262533985,19.39586575478419,True,True,False
11,22,33,174.96405035851603,19.615934810772245,True,True,False
11,23,34,189.0494720774568,18.060874279829946,True,True,False
11,24,35,190.07569298308226,19.66725501451091,True,True,False
11,25,36,-971848418.2453103,20.502824051780607,False,True,False
